NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 5.88. All the dependencies among components: from: tv.danmaku.ijk.media.exo2 to: com.shuyu.gsyvideoplayer.cache; from: tv.danmaku.ijk.media.exo2 to: tv.danmaku.ijk.media.exo2.demo; from: tv.danmaku.ijk.media.exo2 to: com.shuyu.gsyvideoplayer.model; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.adapter; from: com.example.gsyvideoplayer to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.model; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.holder; from: com.example.gsyvideoplayer to: com.shuyu.gsyvideoplayer; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.video; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.view; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.utils.floatUtil; from: com.example.gsyvideoplayer to: com.shuyu.gsyvideoplayer.video; from: com.example.gsyvideoplayer to: com.shuyu.gsyvideoplayer.video.base; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.video.manager; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.listener; from: com.example.gsyvideoplayer to: com.shuyu.gsyvideoplayer.builder; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.utils; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.effect; from: com.example.gsyvideoplayer to: com.shuyu.gsyvideoplayer.render.view; from: com.example.gsyvideoplayer to: com.shuyu.gsyvideoplayer.render.effect; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.fragment; from: com.example.gsyvideoplayer to: com.shuyu.gsyvideoplayer.player; from: com.example.gsyvideoplayer to: tv.danmaku.ijk.media.exo2; from: com.example.gsyvideoplayer to: com.danikula.videocache; from: com.example.gsyvideoplayer to: com.shuyu.gsyvideoplayer.cache; from: com.example.gsyvideoplayer.video to: com.shuyu.gsyvideoplayer.video.base; from: com.example.gsyvideoplayer.video to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer.video to: com.example.gsyvideoplayer.video.manager; from: com.example.gsyvideoplayer.video to: com.example.gsyvideoplayer.adapter; from: com.example.gsyvideoplayer.video to: com.example.gsyvideoplayer.view; from: com.example.gsyvideoplayer.video to: com.shuyu.gsyvideoplayer; from: com.example.gsyvideoplayer.video to: com.shuyu.gsyvideoplayer.listener; from: com.example.gsyvideoplayer.video.manager to: com.shuyu.gsyvideoplayer.video.base; from: com.example.gsyvideoplayer.video.manager to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer.switchplay to: com.shuyu.gsyvideoplayer; from: com.example.gsyvideoplayer.switchplay to: com.shuyu.gsyvideoplayer.listener; from: com.example.gsyvideoplayer.switchplay to: com.shuyu.gsyvideoplayer.video; from: com.example.gsyvideoplayer.switchplay to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer.mediacodec to: com.shuyu.gsyvideoplayer.render.view.listener; from: com.example.gsyvideoplayer.mediacodec to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer.mediacodec to: com.shuyu.gsyvideoplayer.listener; from: com.example.gsyvideoplayer.mediacodec to: com.shuyu.gsyvideoplayer.render.glrender; from: com.example.gsyvideoplayer.mediacodec to: com.shuyu.gsyvideoplayer.render.view; from: com.example.gsyvideoplayer.mediacodec to: com.shuyu.gsyvideoplayer.render; from: com.example.gsyvideoplayer.exosubtitle to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer.exosubtitle to: com.shuyu.gsyvideoplayer.builder; from: com.example.gsyvideoplayer.exosubtitle to: com.shuyu.gsyvideoplayer.video.base; from: com.example.gsyvideoplayer.exosubtitle to: com.shuyu.gsyvideoplayer.cache; from: com.example.gsyvideoplayer.exo to: com.shuyu.gsyvideoplayer.video.base; from: com.example.gsyvideoplayer.exo to: com.shuyu.gsyvideoplayer.model; from: com.example.gsyvideoplayer.exo to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer.exo to: com.shuyu.gsyvideoplayer.cache; from: com.example.gsyvideoplayer.exo to: tv.danmaku.ijk.media.exo2; from: com.example.gsyvideoplayer.effect to: com.shuyu.gsyvideoplayer.render.view; from: com.example.gsyvideoplayer.utils to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer.utils to: com.shuyu.gsyvideoplayer.video; from: com.example.gsyvideoplayer.utils to: com.shuyu.gsyvideoplayer.video.base; from: com.example.gsyvideoplayer.utils to: com.example.gsyvideoplayer; from: com.example.gsyvideoplayer.adapter to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer.adapter to: com.example.gsyvideoplayer.holder; from: com.example.gsyvideoplayer.adapter to: com.example.gsyvideoplayer.video; from: com.example.gsyvideoplayer.adapter to: com.shuyu.gsyvideoplayer.video; from: com.example.gsyvideoplayer.adapter to: com.shuyu.gsyvideoplayer; from: com.example.gsyvideoplayer.simple to: com.shuyu.gsyvideoplayer.video; from: com.example.gsyvideoplayer.simple to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer.simple to: com.shuyu.gsyvideoplayer.builder; from: com.example.gsyvideoplayer.simple to: com.shuyu.gsyvideoplayer; from: com.example.gsyvideoplayer.simple to: com.example.gsyvideoplayer.simple.adapter; from: com.example.gsyvideoplayer.simple.adapter to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer.simple.adapter to: com.shuyu.gsyvideoplayer.video; from: com.example.gsyvideoplayer.simple.adapter to: com.example.gsyvideoplayer.video; from: com.example.gsyvideoplayer.holder to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer.holder to: com.example.gsyvideoplayer.model; from: com.example.gsyvideoplayer.holder to: com.example.gsyvideoplayer.video; from: com.example.gsyvideoplayer.holder to: com.shuyu.gsyvideoplayer.builder; from: com.example.gsyvideoplayer.holder to: com.shuyu.gsyvideoplayer.video; from: com.example.gsyvideoplayer.holder to: com.shuyu.gsyvideoplayer; from: com.example.gsyvideoplayer.fragment to: com.example.gsyvideoplayer.adapter; from: com.example.gsyvideoplayer.fragment to: com.example.gsyvideoplayer.model; from: com.example.gsyvideoplayer.fragment to: com.example.gsyvideoplayer.holder; from: com.example.gsyvideoplayer.fragment to: com.shuyu.gsyvideoplayer; from: com.example.gsyvideoplayer.view to: com.shuyu.gsyvideoplayer.render.view.listener; from: com.example.gsyvideoplayer.view to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer.view to: com.shuyu.gsyvideoplayer.listener; from: com.example.gsyvideoplayer.view to: com.shuyu.gsyvideoplayer.render.glrender; from: com.example.gsyvideoplayer.view to: com.shuyu.gsyvideoplayer.render.view; from: com.example.gsyvideoplayer.view to: com.shuyu.gsyvideoplayer.render; from: com.example.gsyvideoplayer.view to: com.example.gsyvideoplayer.video; from: com.shuyu.gsyvideoplayer.cache to: com.danikula.videocache; from: com.shuyu.gsyvideoplayer.cache to: com.danikula.videocache.file; from: com.shuyu.gsyvideoplayer.cache to: com.shuyu.gsyvideoplayer.utils; from: com.shuyu.gsyvideoplayer.player to: com.shuyu.gsyvideoplayer.cache; from: com.shuyu.gsyvideoplayer.player to: com.shuyu.gsyvideoplayer.model; from: com.shuyu.gsyvideoplayer.player to: com.shuyu.gsyvideoplayer.utils; from: com.shuyu.gsyvideoplayer.video to: com.shuyu.gsyvideoplayer.model; from: com.shuyu.gsyvideoplayer.video to: com.shuyu.gsyvideoplayer.video.base; from: com.shuyu.gsyvideoplayer.video to: moe.codeest.enviews; from: com.shuyu.gsyvideoplayer.video to: com.shuyu.gsyvideoplayer.listener; from: com.shuyu.gsyvideoplayer.video to: com.shuyu.gsyvideoplayer.utils; from: com.shuyu.gsyvideoplayer.video to: com.shuyu.gsyvideoplayer; from: com.shuyu.gsyvideoplayer.video.base to: com.shuyu.gsyvideoplayer.listener; from: com.shuyu.gsyvideoplayer.video.base to: com.shuyu.gsyvideoplayer.utils; from: com.shuyu.gsyvideoplayer.video.base to: com.shuyu.gsyvideoplayer.render; from: com.shuyu.gsyvideoplayer.video.base to: com.shuyu.gsyvideoplayer.render.view; from: com.shuyu.gsyvideoplayer.video.base to: com.shuyu.gsyvideoplayer.render.glrender; from: com.shuyu.gsyvideoplayer.video.base to: com.shuyu.gsyvideoplayer; from: com.shuyu.gsyvideoplayer to: com.shuyu.gsyvideoplayer.utils; from: com.shuyu.gsyvideoplayer to: com.shuyu.gsyvideoplayer.video.base; from: com.shuyu.gsyvideoplayer to: com.shuyu.gsyvideoplayer.listener; from: com.shuyu.gsyvideoplayer to: com.shuyu.gsyvideoplayer.player; from: com.shuyu.gsyvideoplayer to: com.shuyu.gsyvideoplayer.cache; from: com.shuyu.gsyvideoplayer to: com.shuyu.gsyvideoplayer.model; from: com.shuyu.gsyvideoplayer.render to: com.shuyu.gsyvideoplayer.render.view; from: com.shuyu.gsyvideoplayer.render to: com.shuyu.gsyvideoplayer.render.view.listener; from: com.shuyu.gsyvideoplayer.render to: com.shuyu.gsyvideoplayer.utils; from: com.shuyu.gsyvideoplayer.render to: com.shuyu.gsyvideoplayer.render.glrender; from: com.shuyu.gsyvideoplayer.render to: com.shuyu.gsyvideoplayer.listener; from: com.shuyu.gsyvideoplayer.render.effect to: com.shuyu.gsyvideoplayer.render.view; from: com.shuyu.gsyvideoplayer.render.view.listener to: com.shuyu.gsyvideoplayer.render.glrender; from: com.shuyu.gsyvideoplayer.render.view to: com.shuyu.gsyvideoplayer.render.view.listener; from: com.shuyu.gsyvideoplayer.render.view to: com.shuyu.gsyvideoplayer.utils; from: com.shuyu.gsyvideoplayer.render.view to: com.shuyu.gsyvideoplayer.listener; from: com.shuyu.gsyvideoplayer.render.view to: com.shuyu.gsyvideoplayer.render.glrender; from: com.shuyu.gsyvideoplayer.render.view to: com.shuyu.gsyvideoplayer.render; from: com.shuyu.gsyvideoplayer.render.glrender to: com.shuyu.gsyvideoplayer.listener; from: com.shuyu.gsyvideoplayer.render.glrender to: com.shuyu.gsyvideoplayer.render.view; from: com.shuyu.gsyvideoplayer.render.glrender to: com.shuyu.gsyvideoplayer.render.view.listener; from: com.shuyu.gsyvideoplayer.render.glrender to: com.shuyu.gsyvideoplayer.utils; from: com.shuyu.gsyvideoplayer.utils to: com.shuyu.gsyvideoplayer.video; from: com.shuyu.gsyvideoplayer.utils to: com.shuyu.gsyvideoplayer.listener; from: com.shuyu.gsyvideoplayer.utils to: com.shuyu.gsyvideoplayer.video.base; from: com.shuyu.gsyvideoplayer.view to: com.shuyu.gsyvideoplayer.video.base; from: com.shuyu.gsyvideoplayer.builder to: com.shuyu.gsyvideoplayer.listener; from: com.shuyu.gsyvideoplayer.builder to: com.shuyu.gsyvideoplayer.render.view; from: com.shuyu.gsyvideoplayer.builder to: com.shuyu.gsyvideoplayer.video; from: com.shuyu.gsyvideoplayer.builder to: com.shuyu.gsyvideoplayer.video.base; from: com.danikula.videocache to: com.danikula.videocache.file; from: com.danikula.videocache to: com.danikula.videocache.sourcestorage; from: com.danikula.videocache to: com.danikula.videocache.headers; from: com.danikula.videocache.file to: com.danikula.videocache; from: com.danikula.videocache.sourcestorage to: com.danikula.videocache.
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 38
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.example.gsyvideoplayer; com.example.gsyvideoplayer.utils
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RecyclerView3Activity]; [PlayActivity]; [WindowActivity]; [DetailADPlayer2]; [ListMultiVideoActivity]; [ScrollingActivity]; [RecyclerView2Activity]; [DetailControlActivity]; [DetailFilterActivity; TaskLocal2; TaskLocal]; [ViewPager2Activity]; [ListVideoActivity]; [ListVideo2Activity]; [DanmkuVideoActivity]; [DetailNormalActivityPlayer]; [FragmentVideoActivity]; [AudioDetailPlayer]; [DetailListPlayer]; [EmptyActivity]; [MainActivity]; [WebDetailActivity]; [GSYApplication]; [DetailDownloadPlayer]; [InputUrlDetailActivity]; [DetailPlayer]; [ListADVideoActivity2; ListADNormalAdapter; ViewHolder; ListADVideoActivity; ListADNormalAdapter]; [AutoPlayRecyclerViewActivity]; [DetailMoreTypeActivity]; [ViewHolder]; [DetailADPlayer]; [RecyclerViewActivity]; [PlayEmptyControlActivity]; [PlayPickActivity]. LCC (Lack of Component Cohesion) = 0.84
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer.video,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.example.gsyvideoplayer.video; com.example.gsyvideoplayer.adapter
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer.video,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.example.gsyvideoplayer.video; com.example.gsyvideoplayer.adapter; com.example.gsyvideoplayer.holder
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer.video,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.example.gsyvideoplayer.video.manager; com.example.gsyvideoplayer.adapter; com.example.gsyvideoplayer.view
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer.video,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CustomRenderVideoPlayer]; [EmptyControlVideo]; [LandLayoutVideo]; [FloatingVideo]; [PreViewGSYVideoPlayer]; [MultiSampleVideo]; [RequestListADVideoPlayer; ListADVideoPlayer]; [DanmakuVideoPlayer]; [SampleVideo]; [SampleCoverVideo]; [SampleControlVideo]; [SmartPickVideo]; [AudioSampleVideo]. LCC (Lack of Component Cohesion) = 0.93
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer.effect,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GSYVideoGLViewCustomRender4]; [GSYVideoGLViewCustomRender; BitmapIconEffect]; [GSYVideoGLViewCustomRender2]; [BitmapEffect; GSYVideoGLViewCustomRender3]; [PixelationEffect]. LCC (Lack of Component Cohesion) = 0.71
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.example.gsyvideoplayer.utils; com.example.gsyvideoplayer
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer.utils,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.example.gsyvideoplayer
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CommonUtil; SmallVideoHelper; GSYSmallVideoHelperBuilder]; [ScrollCalculatorHelper; PlayRunnable]; [MemoryCallBack]; [JumpUtils]; [BiliDanmukuParser; XmlContentHandler]. LCC (Lack of Component Cohesion) = 0.56
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer.adapter,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.example.gsyvideoplayer.adapter; com.example.gsyvideoplayer.video
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer.adapter,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.example.gsyvideoplayer.adapter; com.example.gsyvideoplayer.holder; com.example.gsyvideoplayer.video
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer.adapter,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RecyclerBaseAdapter]; [ListMultiNormalAdapter; ViewHolder; ListVideoAdapter; ListNormalAdapter]; [ViewHolder]; [ViewHolder]; [RecyclerNormalAdapter]; [DanamakuAdapter]; [ViewPagerAdapter]. LCC (Lack of Component Cohesion) = 0.7
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer.simple,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SimpleDetailActivityMode2]; [SimpleActivity]; [SimpleListVideoActivityMode2]; [SimplePlayer]; [SimpleListVideoActivityMode1]; [SimpleDetailActivityMode1]. LCC (Lack of Component Cohesion) = 1.0
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer.holder,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.example.gsyvideoplayer.holder; com.example.gsyvideoplayer.video; com.example.gsyvideoplayer.adapter
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer.holder,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.shuyu.gsyvideoplayer.builder
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer.view,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.example.gsyvideoplayer.view; com.example.gsyvideoplayer.video
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer.view,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.shuyu.gsyvideoplayer.render
v8.1.0-ci,02ec35f2beb7badd4de727bff6f466648c84a253,Mon Feb 08 06:14:30 CET 2021,gsyvideoplayer,com.example.gsyvideoplayer.view,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LoadingDialog]; [CustomTextureSurface; CustomRenderView]; [ScrollWebView; OnScrollListener]; [FloatPlayerView]; [SwitchVideoTypeDialog; OnListItemClickListener; OnItemClickListener]; [CustomInputDialog; OnButtonClickListener; OnClickListener]. LCC (Lack of Component Cohesion) = 0.5
